gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
Male,0,No,No,36,Yes,Yes,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Electronic check,104.29,3735.16,Yes
Male,1,Yes,Yes,26,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,One year,Yes,Mailed check,109.99,2870.07,No
Male,0,Yes,No,8,Yes,No,Fiber optic,Yes,No,No,No,No,Yes,Two year,No,Electronic check,82.72,701.55,No
Female,0,No,No,28,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Two year,Yes,Mailed check,86.03,2416.03,No
Female,0,No,No,47,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,82.59,3842.18,Yes
Female,0,No,Yes,45,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Mailed check,101.96,4600.35,No
Female,1,No,No,28,No,No phone service,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,118.8,3336.56,Yes
Female,0,Yes,No,44,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,91.0,3985.68,No
Female,1,Yes,No,56,Yes,No,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),49.55,2786.4,No
Male,0,No,Yes,67,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Two year,Yes,Mailed check,99.0,6659.72,No
Female,1,No,No,38,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),28.53,1115.25,No
Male,1,Yes,Yes,16,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Credit card (automatic),76.4,1250.68,No
Male,0,Yes,Yes,9,Yes,No,DSL,No,No,Yes,Yes,No,No,One year,No,Electronic check,71.78,646.45,No
Female,0,Yes,No,11,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,99.3,1118.47,Yes
Female,0,Yes,No,0,Yes,Yes,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),91.62,0.0,No
Male,0,No,Yes,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,25.5,1042.97,No
Male,1,No,No,15,Yes,No,DSL,Yes,No,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,46.75,676.63,No
Male,0,Yes,No,16,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,43.56,655.54,No
Male,0,No,No,52,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,Two year,No,Electronic check,117.47,6105.96,No
Male,0,No,No,23,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,99.35,2253.47,Yes
Female,0,Yes,No,60,Yes,Yes,Fiber optic,No,No,Yes,No,No,Yes,Month-to-month,No,Electronic check,88.0,5327.87,No
Female,1,Yes,No,10,Yes,No,DSL,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,47.64,445.13,No
Female,0,No,Yes,24,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,No,Credit card (automatic),54.95,1362.23,No
Female,0,Yes,Yes,3,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),30.99,126.91,No
Female,1,No,No,39,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,Yes,Credit card (automatic),65.76,2599.3,No
Female,0,No,Yes,9,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Bank transfer (automatic),77.58,692.25,No
Male,0,No,No,17,Yes,No,DSL,No,Yes,No,No,No,No,One year,Yes,Electronic check,55.23,915.43,No
Male,0,No,No,53,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,26.88,1422.68,No
Female,0,No,Yes,64,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No,Month-to-month,Yes,Credit card (automatic),63.52,4110.7,No
Male,0,No,Yes,39,Yes,No,Fiber optic,Yes,No,No,No,No,No,One year,No,Credit card (automatic),83.28,3228.04,No
Male,0,Yes,No,70,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,Yes,Credit card (automatic),120.0,8363.4,Yes
Male,0,No,No,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Bank transfer (automatic),53.44,2965.32,No
Female,1,No,No,54,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,42.92,2315.45,No
Male,1,No,Yes,72,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,110.87,7956.99,Yes
Female,0,No,No,6,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,No,Bank transfer (automatic),61.95,326.22,No
Male,0,Yes,Yes,16,Yes,Yes,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,77.65,1273.09,Yes
Male,0,No,No,31,Yes,Yes,DSL,No,No,No,Yes,No,No,One year,Yes,Mailed check,62.62,1916.95,No
Male,0,No,Yes,45,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,No,Bank transfer (automatic),78.18,3469.33,No
Male,0,No,Yes,72,Yes,No,Fiber optic,No,No,No,Yes,No,No,Two year,Yes,Credit card (automatic),72.86,5294.26,No
Female,0,No,No,7,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,Two year,Yes,Electronic check,98.08,721.57,Yes
Male,0,No,Yes,16,Yes,No,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,114.02,1836.47,Yes
Male,0,No,No,21,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Electronic check,77.62,1639.05,No
Female,0,Yes,Yes,48,Yes,No,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),75.64,3601.7,No
Female,0,Yes,Yes,69,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),37.05,2548.78,No
Male,0,No,Yes,68,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),35.72,2441.19,No
Female,0,No,No,54,Yes,No,DSL,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,83.83,4506.85,No
Female,0,No,No,56,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,112.05,6293.01,No
Male,0,Yes,Yes,30,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,48.42,1466.71,No
Female,1,Yes,No,44,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,53.83,2408.61,No
Female,1,Yes,No,12,Yes,No,Fiber optic,No,Yes,Yes,No,No,No,Month-to-month,Yes,Bank transfer (automatic),92.51,1069.21,Yes
Female,0,No,No,36,Yes,Yes,DSL,Yes,No,No,No,Yes,Yes,One year,Yes,Credit card (automatic),80.36,2847.11,Yes
Male,0,No,No,21,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),54.23,1088.91,No
Male,0,No,No,67,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,Yes,Credit card (automatic),75.13,5081.7,No
Male,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,Two year,Yes,Mailed check,85.21,2226.1,No
Female,0,No,No,28,No,No phone service,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Electronic check,55.41,1576.92,No
Female,0,No,No,29,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Mailed check,20.85,619.37,No
Male,1,Yes,No,65,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,Yes,Two year,No,Credit card (automatic),89.6,5797.05,No
Male,1,No,Yes,68,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Credit card (automatic),84.88,5788.58,No
Female,0,No,No,31,Yes,No,Fiber optic,No,No,No,No,No,No,Two year,No,Credit card (automatic),82.79,2582.42,No
Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),86.16,6244.51,No
Female,0,Yes,No,55,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Two year,No,Credit card (automatic),74.37,4075.87,No
Male,1,No,No,61,Yes,Yes,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Mailed check,88.23,5395.24,No
Female,0,No,No,66,No,No phone service,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,No,Mailed check,78.14,5146.45,No
Male,0,No,No,24,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),23.56,532.88,No
Female,0,No,No,40,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,81.54,3288.41,Yes
Male,0,Yes,No,20,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,Two year,No,Bank transfer (automatic),50.21,1000.75,No
Male,0,No,No,22,No,No phone service,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,62.68,1369.48,No
Male,0,No,No,33,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),103.15,3399.93,Yes
Female,0,Yes,Yes,3,Yes,Yes,DSL,No,No,No,No,No,No,One year,No,Credit card (automatic),73.52,261.55,No
Female,0,No,No,15,Yes,No,Fiber optic,No,No,Yes,No,No,No,Two year,No,Credit card (automatic),96.19,1453.32,Yes
Male,0,Yes,Yes,59,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,Month-to-month,No,Electronic check,72.63,4257.57,No
Female,0,Yes,No,12,No,No phone service,Fiber optic,No,Yes,No,Yes,No,Yes,One year,No,Electronic check,86.45,1030.01,Yes
Male,0,Yes,No,45,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),62.11,2755.07,No
Male,1,No,No,55,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),105.84,5802.68,No
Male,0,Yes,Yes,19,Yes,Yes,DSL,Yes,No,No,No,Yes,No,One year,No,Electronic check,59.04,1106.11,No
Female,0,Yes,No,33,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No,No,One year,Yes,Bank transfer (automatic),107.79,3521.26,No
Male,0,No,Yes,64,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,51.24,3316.69,No
Female,0,Yes,No,60,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),38.46,2320.06,No
Male,0,No,Yes,67,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Month-to-month,No,Mailed check,103.27,6870.73,No
Male,0,No,No,45,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Mailed check,34.55,1514.8,No
Male,0,Yes,No,64,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,34.59,2261.34,No
Female,0,Yes,No,29,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,40.12,1123.36,No
Male,0,No,No,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),20.68,908.03,No
Female,1,Yes,Yes,48,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Two year,No,Bank transfer (automatic),79.47,3840.22,No
Female,0,Yes,No,71,No,No phone service,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,65.16,4664.9,No
Male,1,No,Yes,26,Yes,No,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,113.55,2989.18,No
Female,1,No,No,63,Yes,No,Fiber optic,No,No,Yes,No,No,No,Month-to-month,No,Bank transfer (automatic),86.75,5482.04,No
Female,0,No,No,37,Yes,Yes,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Credit card (automatic),82.68,3075.63,Yes
Male,0,No,No,7,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Mailed check,75.59,527.26,No
Male,0,No,Yes,47,Yes,Yes,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),70.66,3276.93,No
Male,0,No,No,71,Yes,No,DSL,Yes,No,No,No,Yes,No,Month-to-month,No,Credit card (automatic),80.13,5699.44,No
Female,0,No,No,33,Yes,No,Fiber optic,Yes,No,Yes,No,No,Yes,Month-to-month,No,Mailed check,99.46,3270.08,Yes
Male,0,No,Yes,40,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Credit card (automatic),98.62,3944.19,Yes
Female,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,32.32,2180.46,No
Female,0,No,Yes,67,Yes,No,Fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,Electronic check,104.59,7019.89,No
Female,0,Yes,Yes,29,Yes,No,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),55.98,1650.22,No
Male,0,No,No,55,Yes,Yes,DSL,No,Yes,No,Yes,No,No,One year,No,Credit card (automatic),65.04,3595.63,No
Female,0,No,Yes,46,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Month-to-month,No,Electronic check,77.45,3597.45,No
Male,1,Yes,Yes,47,Yes,No,Fiber optic,No,No,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),111.16,5272.78,No
Male,0,Yes,No,52,No,No phone service,Fiber optic,No,No,No,Yes,No,No,Month-to-month,No,Bank transfer (automatic),107.38,5571.78,No
Male,0,No,No,23,Yes,Yes,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),118.07,2716.43,Yes
Male,0,Yes,Yes,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Bank transfer (automatic),28.53,579.83,No
Male,0,Yes,Yes,1,Yes,No,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Credit card (automatic),98.81,74.27,Yes
Male,0,Yes,No,62,No,No phone service,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),49.47,3068.97,No
Male,0,Yes,No,20,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,111.43,2215.79,Yes
Male,0,No,No,49,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Month-to-month,No,Electronic check,48.5,2370.17,No
Female,1,Yes,No,50,Yes,No,DSL,Yes,No,Yes,No,Yes,No,Two year,Yes,Credit card (automatic),75.33,3768.18,No
Male,1,Yes,No,51,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Credit card (automatic),92.52,4751.18,No
Female,0,No,No,63,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Electronic check,119.2,7463.99,No
Female,0,Yes,No,63,No,No phone service,DSL,No,Yes,No,Yes,No,Yes,Two year,No,Bank transfer (automatic),71.5,4517.01,No
Female,0,Yes,Yes,0,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Electronic check,117.78,7.81,Yes
Female,0,No,Yes,61,Yes,No,Fiber optic,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),104.76,6376.13,No
Female,0,No,Yes,15,Yes,No,DSL,No,No,No,No,No,No,Two year,No,Electronic check,69.41,1066.78,No
Female,0,No,No,47,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Credit card (automatic),103.16,4897.68,No
Female,0,No,No,49,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),49.33,2433.51,No
Female,0,No,No,3,Yes,No,Fiber optic,No,No,No,No,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),84.75,271.32,No
Male,0,Yes,Yes,20,Yes,No,Fiber optic,Yes,No,Yes,No,No,No,Two year,Yes,Electronic check,99.16,1956.68,No
Male,0,No,No,66,Yes,Yes,Fiber optic,No,No,No,No,No,No,Month-to-month,Yes,Electronic check,75.08,4992.56,No
Female,0,No,No,10,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,77.32,734.44,No
Male,0,Yes,Yes,16,Yes,No,Fiber optic,Yes,No,No,Yes,No,Yes,Month-to-month,Yes,Electronic check,89.91,1466.7,Yes
Female,0,No,No,5,Yes,No,DSL,Yes,No,No,Yes,Yes,Yes,Month-to-month,No,Electronic check,62.81,353.44,No
Male,1,Yes,No,12,Yes,Yes,Fiber optic,No,No,No,Yes,No,Yes,Month-to-month,Yes,Credit card (automatic),91.42,1119.24,Yes
Male,0,No,No,46,Yes,No,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,71.86,3287.04,No
Female,0,No,No,61,Yes,No,DSL,Yes,Yes,No,No,No,Yes,One year,No,Mailed check,50.6,3089.21,No
Female,0,No,No,43,Yes,Yes,Fiber optic,No,No,Yes,No,Yes,No,One year,No,Credit card (automatic),84.81,3683.44,No
Female,0,Yes,Yes,20,No,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),60.89,1175.2,No
Male,0,No,No,62,Yes,Yes,Fiber optic,Yes,Yes,No,No,No,No,Month-to-month,No,Mailed check,81.87,5050.72,No
Female,0,No,Yes,26,Yes,Yes,Fiber optic,No,No,Yes,Yes,No,Yes,Two year,No,Bank transfer (automatic),103.22,2654.89,No
Female,1,Yes,No,22,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Electronic check,49.75,1108.07,No
Female,0,Yes,No,36,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,21.36,729.75,No
Female,0,No,No,9,Yes,No,Fiber optic,Yes,No,No,No,No,No,Month-to-month,No,Electronic check,100.47,881.16,No
Female,0,Yes,No,26,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,51.0,1360.92,No
Female,0,No,Yes,58,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Credit card (automatic),72.69,4227.86,No
Male,0,No,Yes,44,Yes,No,Fiber optic,No,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card (automatic),103.07,4537.98,Yes
Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,One year,No,Electronic check,94.86,6789.91,No
Female,0,No,Yes,56,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Credit card (automatic),53.64,2969.8,No
Female,0,Yes,No,26,No,No phone service,Fiber optic,No,No,No,No,No,No,Month-to-month,No,Credit card (automatic),92.65,2369.99,No
Female,0,No,Yes,55,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Electronic check,38.4,2081.32,No
Female,0,No,No,63,Yes,No,Fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,71.03,4448.42,No
Male,1,Yes,No,46,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Mailed check,25.13,1149.1,No
Female,0,No,No,55,No,No phone service,Fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,Electronic check,80.98,4437.04,Yes
Male,1,No,No,36,Yes,No,DSL,No,No,No,No,Yes,Yes,Month-to-month,No,Mailed check,69.39,2451.16,No
Male,1,No,No,66,Yes,No,DSL,No,No,Yes,No,No,No,Month-to-month,Yes,Electronic check,56.24,3744.27,No
Female,1,Yes,Yes,17,Yes,Yes,Fiber optic,No,No,Yes,Yes,Yes,No,Two year,Yes,Mailed check,102.61,1776.89,No
Female,0,No,No,30,Yes,No,DSL,No,No,No,Yes,No,Yes,Two year,No,Electronic check,69.78,2080.48,No
Male,0,No,No,18,Yes,Yes,DSL,Yes,No,No,No,No,Yes,Two year,Yes,Mailed check,65.24,1214.23,No
Male,0,Yes,Yes,7,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,Yes,Two year,Yes,Mailed check,100.74,751.96,No
Male,0,No,No,44,Yes,Yes,Fiber optic,No,No,No,No,No,No,Two year,No,Mailed check,92.55,4060.17,No
Male,0,Yes,No,8,Yes,Yes,DSL,No,Yes,Yes,Yes,Yes,No,Two year,No,Electronic check,49.3,411.75,No
Male,0,No,No,16,Yes,No,Fiber optic,No,Yes,No,No,No,No,Month-to-month,Yes,Electronic check,71.84,1185.36,No
Male,1,Yes,No,55,No,No phone service,Fiber optic,No,No,Yes,No,Yes,Yes,One year,Yes,Bank transfer (automatic),102.66,5674.83,No
Female,0,No,No,17,Yes,Yes,Fiber optic,No,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Electronic check,99.99,1673.3,No
Female,0,Yes,Yes,63,Yes,Yes,Fiber optic,Yes,No,Yes,No,Yes,No,Two year,Yes,Electronic check,95.19,6002.54,No
Female,0,Yes,Yes,3,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Mailed check,55.8,160.17,No
Male,0,No,Yes,33,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Credit card (automatic),54.7,1783.62,No
Male,0,No,No,4,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Bank transfer (automatic),30.45,134.86,No
Male,0,No,Yes,4,Yes,Yes,Fiber optic,No,No,No,No,No,No,One year,No,Bank transfer (automatic),104.07,367.08,Yes
Female,0,No,No,57,Yes,Yes,DSL,No,No,No,No,Yes,No,Two year,Yes,Credit card (automatic),49.4,2782.15,No
Male,0,Yes,No,4,Yes,Yes,Fiber optic,No,Yes,No,Yes,Yes,Yes,Month-to-month,Yes,Bank transfer (automatic),75.72,263.01,Yes
Male,0,No,No,65,No,No phone service,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,Mailed check,34.82,2312.7,No
Male,0,Yes,Yes,43,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Credit card (automatic),37.08,1559.92,No
Female,0,Yes,Yes,35,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,22.79,830.76,No
Male,0,No,No,67,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Electronic check,22.23,1525.72,No
Male,0,No,No,28,Yes,Yes,Fiber optic,No,Yes,No,No,No,No,One year,No,Electronic check,81.08,2270.51,No
Female,0,Yes,No,29,Yes,Yes,DSL,No,No,No,Yes,No,No,Month-to-month,Yes,Mailed check,80.6,2292.85,No
Female,0,Yes,No,29,Yes,Yes,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Bank transfer (automatic),83.58,2449.89,Yes
Male,0,No,No,47,Yes,Yes,DSL,No,No,No,No,No,No,Two year,No,Electronic check,56.83,2680.35,No
Male,0,Yes,Yes,61,Yes,Yes,DSL,No,Yes,No,No,Yes,No,Month-to-month,Yes,Mailed check,75.37,4611.74,No
Female,0,Yes,No,39,Yes,No,DSL,No,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer (automatic),75.54,2951.94,No
Female,1,Yes,Yes,20,Yes,Yes,Fiber optic,No,Yes,No,No,No,Yes,Month-to-month,Yes,Credit card (automatic),119.5,2373.39,Yes
Female,0,Yes,No,64,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,Yes,Mailed check,30.26,1985.95,No
Male,1,Yes,Yes,43,Yes,No,DSL,No,No,No,No,Yes,No,Month-to-month,No,Mailed check,78.96,3414.49,No
Male,0,No,Yes,60,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Bank transfer (automatic),37.7,2282.94,No
Female,0,Yes,Yes,31,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,Electronic check,35.15,1094.71,No
Male,0,No,No,14,Yes,No,DSL,No,Yes,No,No,No,No,Two year,Yes,Mailed check,58.37,773.12,Yes
Male,0,No,No,68,Yes,Yes,DSL,No,Yes,Yes,No,Yes,Yes,One year,Yes,Electronic check,81.69,5563.66,No
Female,1,No,Yes,49,Yes,No,Fiber optic,No,No,No,No,No,Yes,Two year,Yes,Electronic check,95.7,4686.92,No
Female,0,No,No,22,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,23.61,511.02,No
Male,1,No,Yes,61,Yes,Yes,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Credit card (automatic),96.68,5894.04,No
Female,1,No,Yes,0,Yes,Yes,DSL,No,No,No,No,No,Yes,Month-to-month,Yes,Mailed check,56.5,35.25,No
Male,0,No,No,67,Yes,Yes,Fiber optic,No,No,Yes,No,No,No,Month-to-month,Yes,Mailed check,119.35,8032.76,No
Female,0,No,Yes,42,Yes,No,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Month-to-month,No,Mailed check,33.91,1460.85,No
Female,0,No,No,43,Yes,Yes,DSL,No,No,No,Yes,Yes,No,One year,Yes,Mailed check,47.56,2051.92,No
Male,0,No,No,0,Yes,No,Fiber optic,No,Yes,Yes,No,No,Yes,One year,No,Bank transfer (automatic),108.44,24.78,Yes
Female,0,Yes,Yes,12,Yes,Yes,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Credit card (automatic),115.1,1358.04,No
Male,0,No,No,52,Yes,No,DSL,No,No,Yes,Yes,No,No,Two year,Yes,Mailed check,75.68,3900.84,No
Female,1,No,No,40,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,Yes,Credit card (automatic),32.62,1317.85,No
Male,0,Yes,No,9,Yes,No,DSL,No,No,No,No,No,Yes,Two year,No,Electronic check,75.71,721.73,No
Male,0,No,No,48,Yes,Yes,No,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,Yes,Electronic check,38.45,1863.12,No
Female,0,Yes,Yes,54,No,No phone service,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Electronic check,98.89,5382.6,No
Female,0,Yes,Yes,19,Yes,Yes,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer (automatic),56.39,1065.37,Yes
Male,1,No,No,50,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer (automatic),82.56,4119.63,Yes
Female,0,Yes,No,71,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Bank transfer (automatic),74.14,5301.89,No
Female,1,Yes,No,35,Yes,Yes,DSL,Yes,No,No,No,Yes,No,Two year,No,Credit card (automatic),83.44,2927.43,No
Male,0,Yes,No,16,Yes,Yes,DSL,No,No,Yes,Yes,Yes,Yes,One year,No,Electronic check,83.75,1313.76,No
